OID_,STATUS,TYPE,LAT,LON
230,Active,Crude,29.727824920000000,-95.01593188
231,Active,Crude,29.728014600000002,-95.01556323
232,Active,Crude,29.724254580000000,-95.01756947
233,Active,Crude,29.724058979999999,-95.01826125
234,Active,Crude,29.723896300000000,-95.01857409
235,Active,Crude,29.724704160000002,-95.01807099
236,Active,Crude,29.724500259999999,-95.01852179
237,Active,Crude,29.723730499999999,-95.01878169
238,Active,Crude,29.724849230000000,-95.01893098
239,Active,Crude,29.722592429999999,-95.01713902
240,Active,Crude,29.722348480000001,-95.01819164
241,Active,Crude,29.723136650000001,-95.01748722
242,Active,Crude,29.723320099999999,-95.01763194
243,Active,Crude,29.723484920000001,-95.01775275
244,Active,Crude,29.723662310000002,-95.01793465
245,Active,Crude,29.723269380000001,-95.01797461
246,Active,Crude,29.723332610000000,-95.01853451
247,Active,Crude,29.723444919999999,-95.01881746
248,Active,Crude,29.724458120000001,-95.01903244
249,Active,Crude,29.725324380000000,-95.01411753
250,Active,Crude,29.725489390000000,-95.0142445
251,Active,Diesel,29.737528050000002,-95.01417093
252,Active,Benzene,29.771003640000000,-95.01765205
253,Active,Benzene,29.771006710000002,-95.01742015
254,Active,Benzene,29.752502620000001,-95.02663579
255,Active,Benzene,29.752496390000001,-95.02616627
256,Active,Benzene,29.752472959999999,-95.02569456
257,Active,Benzene,29.752468000000000,-95.02520932
258,Active,Benzene,29.752455999999999,-95.02474643
259,Active,Benzene,29.752436339999999,-95.02425933
